Geography Name,Percent Units Built in 1939 or Before
GeoID_Name,pysb39b
36061006500,75.19
36061006600,20.08
36061006700,69.79
36061006800,39.28
36061006900,57.73
36061007001,11.16
36061007002,29.15
36061007100,56.63
36061007200,27.49
36061007300,86.75
36061007400,45.14
36061007500,44.46
36061007600,56.11
36061007700,73.31
36061007800,21.43
36061007900,61.57
36061008000,47.58
36061008100,53.37
36061008200,24.91
36061008300,37.49
36061008400,33.9
36061008601,3.21
36061008602,N/A
36061008603,34.59
36061008700,54.95
36061008800,48.95
36061008900,66.6
36061009000,23.24
36061009100,46.98
36061009200,55.56
36061009300,56.63
36061009400,5.71
36061009500,46.87
36061009600,21.01
36061009700,22.14
36061009800,27.84
36061009901,12.5
36061009902,2.04
36061009903,0
36061010000,32.35
36061010100,2.09
36061010200,4.47
36061010300,22.66
36061010400,49.22
36061010601,28.78
36061010602,3.21
36061010801,25.4
36061010802,41.12
36061010803,29.34
36061010900,51.56
36061011000,21.57
36061011100,30.08
36061011201,30.08
36061011202,39.77
36061011203,17.07
36061011300,17.07
36061011401,56.9
36061011402,47.75
36061011500,15.46
36061011600,49.48
36061011700,2.12
36061011800,31.13
36061011900,77.71
36061012000,32.2
36061012101,33.74
36061012102,27.33
36061012200,56.22
36061012400,21.61
36061012500,11.95
36061012601,11.17
36061012602,28.12
36061012700,61.74
36061012800,33.78
36061012901,16.22
36061012902,56.14
36061013000,62.07
36061013100,30.46
36061013201,9.72
36061013202,37.88
36061013203,10.36
36061013300,32.01
36061013400,29.06
36061013501,9.04
36061013502,4.97
36061013601,4.1
36061013602,7.61
36061013603,18.49
36061013604,35.04
36061013700,40.31
36061013800,40.39
36061013900,45.29
36061014000,61.84
36061014200,57.9
36061014300,N/A
36061014401,35.37
36061014402,31.41
36061014500,3.29
36061014601,39.53
36061014602,32.39
36061014700,0.05
36061014801,29.84
36061014802,54.41
36061014900,26.77
36061015001,64.99
36061015002,59.86
36061015101,30.79
36061015102,0.79
36061015200,10.04
36061015301,72.06
36061015302,30.17
36061015401,34.24
36061015402,43.03
36061015403,3.73
36061015501,8.1
36061015502,1.74
36061015601,20.16
36061015602,11.5
36061015700,76.18
36061015801,62.6
36061015802,31.67
36061015900,58.22
36061016001,73.12
36061016002,79.34
36061016100,84.71
36061016200,1.56
36061016300,72.56
36061016400,11.23
36061016500,88.2
36061016600,31.99
36061016700,69.96
36061016800,26.84
36061016900,71.92
36061017000,17.31
36061017100,75.84
36061017200,19.6
36061017300,66.59
36061017401,14.45
36061017402,2.46
36061017500,78.1
36061017700,45.76
36061017800,53.91
36061017900,83.74
36061018000,14.55
36061018100,36.98
36061018200,13.39
36061018300,72.15
36061018400,5.9
36061018500,5.65
36061018600,29.52
36061018700,79.85
36061018800,31.4
36061018900,44.34
36061019000,16.21
36061019100,81.21
36061019200,11.81
36061019300,37.9
36061019400,20.17
36061019500,81.76
36061019600,8.84
36061019701,3.78
36061019702,50.88
36061019800,36.08
36061019900,85.8
36061020000,71.98
36061020101,84.49
36061020102,54.21
36061020300,89.56
36061020500,92.99
