Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Per Capita Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,apci,TimeFrame,GeoVintage,Source,Location
Census Tract,36005033400,NY,36005033400,36005033400,9270,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005033600,NY,36005033600,36005033600,12307,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005033800,NY,36005033800,36005033800,11723,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005033900,NY,36005033900,36005033900,26234,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005034000,NY,36005034000,36005034000,15364,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005034100,NY,36005034100,36005034100,25500,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005034200,NY,36005034200,36005034200,17512,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005034300,NY,36005034300,36005034300,26101,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005034400,NY,36005034400,36005034400,22068,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005034500,NY,36005034500,36005034500,29236,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005034600,NY,36005034600,36005034600,16238,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005035000,NY,36005035000,36005035000,17935,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005035100,NY,36005035100,36005035100,25700,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005035200,NY,36005035200,36005035200,20544,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005035400,NY,36005035400,36005035400,29389,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005035600,NY,36005035600,36005035600,18841,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005035800,NY,36005035800,36005035800,19460,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005035900,NY,36005035900,36005035900,10695,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036100,NY,36005036100,36005036100,7317,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036300,NY,36005036300,36005036300,7668,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036400,NY,36005036400,36005036400,20037,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036501,NY,36005036501,36005036501,8730,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036502,NY,36005036502,36005036502,6731,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036600,NY,36005036600,36005036600,18048,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036700,NY,36005036700,36005036700,8619,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036800,NY,36005036800,36005036800,20168,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036901,NY,36005036901,36005036901,9126,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005036902,NY,36005036902,36005036902,9139,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005037000,NY,36005037000,36005037000,18903,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005037100,NY,36005037100,36005037100,11014,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005037200,NY,36005037200,36005037200,17001,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005037300,NY,36005037300,36005037300,10494,2000,2000,Census,"New York (City, 2020)"
