change of median rent,College00_16,mdfami00_16,Geo_ID,NYC Neighborhood Tabulation Area name,,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop
1.27729636,-0.270,0.306862525,36005029600,Pelham Parkway,,,36005027300,24482,36005028400,-39.15,,,,,
0.715545755,0.454,0.47469096,36005029700,Spuyten Duyvil-Kingsbridge,,,36005027401,41216,36005028500,-27.99,,,,,
0.880108992,0.596,0.692039533,36005030000,Pelham Bay-Country Club-City Island,,,36005027402,43057,36005028600,N/A,,,,,
-0.178041543,0.101,0.431217155,36005030100,Spuyten Duyvil-Kingsbridge,,,36005027600,8675,36005028700,68.4,,,,,
0.685393258,0.246,0.239454021,36005030200,Co-op City,,,36005027700,20754,36005028800,258.18,,,,,
0.882291667,0.096,0.122524408,36005030701,North Riverdale-Fieldston-Riverdale,,,36005027900,28912,36005028900,-38.73,,,,,
0.957189901,0.030,0.339182758,36005030900,North Riverdale-Fieldston-Riverdale,,,36005028100,38754,36005029301,-34.84,,,,,
0.626121635,0.032,0.238619087,36005031000,Allerton-Pelham Gardens,,,36005028300,17622,36005029302,-21.77,,,,,
0.998648649,0.356,0.471330082,36005031200,Allerton-Pelham Gardens,,,36005028400,11120,36005029500,118.15,,,,,
0.675853018,0.166,0.60354007,36005031400,Allerton-Pelham Gardens,,,36005028500,34683,36005029600,-16.4,,,,,
0.97852349,0.421,0.659620399,36005031600,Allerton-Pelham Gardens,,,36005028600,44883,36005029700,28.61,,,,,
0.939597315,0.471,-0.004598058,36005031800,Allerton-Pelham Gardens,,,36005028700,30760,36005030000,81.01,,,,,
0.661167513,0.229,0.640964449,36005032300,North Riverdale-Fieldston-Riverdale,,,36005028800,38803,36005030100,-2.53,,,,,
0.346793349,0.547,-0.024567986,36005032400,Bronxdale,,,36005028900,32049,36005030200,18.07,,,,,
0.671800948,-0.281,0.234075885,36005032600,Allerton-Pelham Gardens,,,36005029301,91933,36005030701,33.56,,,,,
0.373970346,-0.129,-0.073825503,36005032800,Bronxdale,,,36005029302,79612,36005030900,209.55,,,,,
0.685393258,-0.166,0.185641567,36005033000,Bronxdale,,,36005029500,53548,36005031000,115.52,,,,,
