Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Employment in Management, Business, Science, and Arts Occupations",Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cocc_manbussciart,TimeFrame,GeoVintage,Source,Location
Census Tract,36005031900,NY,36005031900,36005031900,5,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005032300,NY,36005032300,36005032300,908,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005032400,NY,36005032400,36005032400,261,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005032600,NY,36005032600,36005032600,598,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005032800,NY,36005032800,36005032800,350,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033000,NY,36005033000,36005033000,638,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033201,NY,36005033201,36005033201,795,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033202,NY,36005033202,36005033202,469,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033400,NY,36005033400,36005033400,1,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033500,NY,36005033500,36005033500,684,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033601,NY,36005033601,36005033601,348,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033602,NY,36005033602,36005033602,108,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033700,NY,36005033700,36005033700,744,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033801,NY,36005033801,36005033801,121,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005033802,NY,36005033802,36005033802,186,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034000,NY,36005034000,36005034000,392,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034200,NY,36005034200,36005034200,417,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034300,NY,36005034300,36005034300,442,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034400,NY,36005034400,36005034400,262,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034500,NY,36005034500,36005034500,904,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005034800,NY,36005034800,36005034800,816,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005035000,NY,36005035000,36005035000,470,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005035100,NY,36005035100,36005035100,907,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005035600,NY,36005035600,36005035600,449,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005035800,NY,36005035800,36005035800,1422,2017-2021,2020,Census,"New York (City, 2020)"
