Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Black or African American Population,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,ppopbk,TimeFrame,GeoVintage,Source,Location
Census Tract,36005033601,NY,36005033601,36005033601,46.98,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005033602,NY,36005033602,36005033602,49,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005033700,NY,36005033700,36005033700,5.16,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005033801,NY,36005033801,36005033801,39.15,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005033802,NY,36005033802,36005033802,50.72,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005034000,NY,36005034000,36005034000,37.57,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005034200,NY,36005034200,36005034200,52.02,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005034300,NY,36005034300,36005034300,14.83,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005034400,NY,36005034400,36005034400,46.79,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005034500,NY,36005034500,36005034500,17.42,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005034800,NY,36005034800,36005034800,54.49,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005035000,NY,36005035000,36005035000,55.69,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005035100,NY,36005035100,36005035100,11.78,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005035600,NY,36005035600,36005035600,69.39,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005035800,NY,36005035800,36005035800,75.72,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005035900,NY,36005035900,36005035900,37.39,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036000,NY,36005036000,36005036000,47.09,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036100,NY,36005036100,36005036100,29.77,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036300,NY,36005036300,36005036300,31.79,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036400,NY,36005036400,36005036400,77.95,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036501,NY,36005036501,36005036501,49.68,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036502,NY,36005036502,36005036502,32.05,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036700,NY,36005036700,36005036700,40.08,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036800,NY,36005036800,36005036800,70.99,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036901,NY,36005036901,36005036901,29.11,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005036902,NY,36005036902,36005036902,46.04,2020,2020,Census,"New York (City, 2020)"
